kitchen_id,community,lpg_kg_used,meals_served,lpg_delivered_kg,days_in_period,delivery_gap_days,stove_condition_score,regulator_condition_score,hose_condition_score,cylinder_change_count,cooking_hours_day,storage_condition_score,equipment_age_years,reported_odor_events
CK-001,Shivaji Nagar,118,2460,125,30,4,88,91,86,5,8.1,92,3,0
CK-002,Azad Camp,142,2320,150,30,8,72,76,70,7,9.2,78,6,1
CK-003,Janata Colony,96,2180,100,30,3,94,92,95,4,7.0,96,2,0
CK-004,Market Ward,168,2510,160,30,12,61,58,64,8,10.4,62,8,2
CK-005,Sai Settlement,131,1980,140,30,7,79,73,75,6,8.8,81,5,1
CK-006,Mill Area,155,2210,148,30,11,66,62,60,8,9.8,64,7,1
CK-007,Laxmi Nagar,84,2050,90,30,2,96,95,94,3,6.4,93,1,0
CK-008,Gandhi Camp,149,2380,160,30,6,74,78,69,7,9.0,77,4,0
CK-009,Indira Nagar,111,2280,115,30,5,87,82,84,5,7.6,88,3,0
CK-010,Station Road,176,2440,165,30,14,56,54,59,9,10.8,58,10,3
CK-011,Ambedkar Nagar,123,2140,130,30,6,81,79,77,6,8.3,80,5,0
CK-012,Railway Colony,137,2260,145,30,9,70,67,73,7,9.1,71,6,1
CK-013,Shastri Ward,102,2390,108,30,4,91,90,89,4,7.2,90,2,0
CK-014,Patel Nagar,146,2110,150,30,10,68,64,66,8,9.5,67,7,2
CK-015,Nehru Camp,91,1930,98,30,3,93,94,91,3,6.8,95,2,0
CK-016,Bhagat Colony,159,2470,152,30,13,63,60,57,8,10.1,61,9,2
CK-017,Shanti Nagar,116,2310,125,30,5,85,84,82,5,7.9,87,4,0
CK-018,Kranti Ward,135,2170,132,30,8,76,71,74,7,8.9,73,5,1
CK-019,Rajiv Colony,101,2250,110,30,4,90,88,92,4,7.3,89,3,0
CK-020,Seva Nagar,171,2550,160,30,15,52,55,51,10,11.1,54,11,3
CK-021,Green Park Community,109,2400,118,30,4,89,86,88,4,7.5,91,3,0
CK-022,New Market Camp,151,2350,148,30,10,69,65,62,8,9.6,68,7,2
CK-023,Shakti Nagar,98,2130,105,30,3,95,93,96,3,6.7,94,2,0
CK-024,Workers Colony,162,2290,155,30,12,59,57,61,9,10.3,60,8,2
